emotion,confidence,timestamp
fear,0.35,1767000756.7001731
fear,0.37,1767000756.871388
fear,0.35,1767000757.0257883
neutral,0.46,1767000757.159064
neutral,0.42,1767000757.3021212
neutral,0.39,1767000757.4344184
fear,0.36,1767000757.597635
neutral,0.34,1767000757.735426
neutral,0.45,1767000757.8918822
fear,0.5,1767000758.0279388
fear,0.38,1767000758.173511
fear,0.43,1767000758.3252559
fear,0.38,1767000758.4782434
fear,0.48,1767000758.638454
fear,0.52,1767000758.7862496
fear,0.53,1767000758.9353292
fear,0.43,1767000759.099567
sad,0.41,1767000759.2738853
sad,0.38,1767000759.439449
sad,0.39,1767000759.5922148
sad,0.4,1767000759.7410245
neutral,0.33,1767000759.8941588
sad,0.41,1767000760.0612037
sad,0.41,1767000760.2032092
sad,0.53,1767000760.3549714
sad,0.42,1767000760.506381
neutral,0.57,1767000760.6653576
neutral,0.42,1767000760.8227546
neutral,0.46,1767000760.9660447
neutral,0.47,1767000761.100561
sad,0.39,1767000761.2743306
sad,0.45,1767000761.4382646
fear,0.46,1767000761.5916836
sad,0.49,1767000761.7316532
sad,0.46,1767000761.8673484
sad,0.41,1767000762.0245004
sad,0.41,1767000762.1657975
sad,0.44,1767000762.292779
fear,0.43,1767000762.4156342
sad,0.46,1767000762.5685134
sad,0.34,1767000762.7261162
sad,0.43,1767000762.872711
neutral,0.38,1767000763.0291438
sad,0.37,1767000763.163443
neutral,0.36,1767000763.307626
sad,0.27,1767000763.4646513
neutral,0.31,1767000763.6327453
neutral,0.37,1767000763.7669578
fear,0.33,1767000763.9284368
fear,0.32,1767000764.1020463
neutral,0.35,1767000764.2339394
neutral,0.42,1767000764.39253
neutral,0.35,1767000764.5345676
neutral,0.31,1767000764.7013755
neutral,0.31,1767000764.8738089
happy,0.43,1767000765.0287147
happy,0.51,1767000765.163372
happy,0.51,1767000765.3002658
neutral,0.46,1767000765.4248269
neutral,0.48,1767000765.5595164
neutral,0.67,1767000765.7103221
neutral,0.47,1767000765.8666353
neutral,0.62,1767000766.0282087
neutral,0.62,1767000766.1667383
neutral,0.46,1767000766.3458219
neutral,0.57,1767000766.5047164
neutral,0.47,1767000766.6691282
neutral,0.65,1767000766.8262057
neutral,0.59,1767000766.9947824
neutral,0.45,1767000767.137076
neutral,0.38,1767000767.301744
happy,0.33,1767000767.433047
neutral,0.36,1767000767.7110825
neutral,0.49,1767000767.870402
neutral,0.53,1767000768.0299408
neutral,0.67,1767000768.1740072
neutral,0.6,1767000768.3396301
happy,0.42,1767000768.5065434
angry,0.29,1767000768.658895
angry,0.32,1767000769.4951663
neutral,0.51,1767000769.6474576
happy,0.57,1767000769.806428
happy,0.75,1767000769.9601438
happy,0.94,1767000770.1304817
happy,0.94,1767000770.2653353
happy,0.96,1767000770.4267879
happy,0.98,1767000770.5692298
happy,0.99,1767000770.7352028
happy,0.99,1767000770.9038258
happy,0.99,1767000771.0802047
happy,0.98,1767000771.2327423
happy,0.99,1767000771.3808424
happy,0.99,1767000771.5333076
happy,0.99,1767000771.718159
happy,0.99,1767000771.8629713
happy,0.99,1767000771.9982255
happy,0.99,1767000772.155215
happy,0.98,1767000772.303805
happy,0.99,1767000772.450304
happy,0.99,1767000772.6162107
happy,0.98,1767000772.7754245
happy,0.99,1767000772.9478781
happy,0.98,1767000773.1158109
happy,0.98,1767000773.2635505
happy,0.97,1767000773.4028027
happy,0.91,1767000773.5659344
neutral,0.6,1767000773.7480032
neutral,0.34,1767000773.9052846
neutral,0.42,1767000774.6768143
angry,0.25,1767000774.8416224
neutral,0.58,1767000774.9999406
neutral,0.67,1767000775.1688335
neutral,0.77,1767000775.3503425
neutral,0.68,1767000775.500149
neutral,0.74,1767000775.6790626
neutral,0.6,1767000775.830746
neutral,0.65,1767000776.0010426
neutral,0.65,1767000776.155486
neutral,0.66,1767000776.3159378
neutral,0.46,1767000776.475655
happy,0.38,1767000776.6525311
neutral,0.35,1767000776.8000817
happy,0.45,1767000776.9511073
neutral,0.56,1767000777.1130943
neutral,0.47,1767000777.2754035
happy,0.29,1767000777.4304042
happy,0.87,1767000777.6687605
happy,0.79,1767000777.8253121
happy,0.66,1767000777.993023
happy,0.77,1767000778.1660616
neutral,0.42,1767000778.5267081
happy,0.57,1767000778.6719315
neutral,0.41,1767000778.8402424
neutral,0.54,1767000778.9854887
neutral,0.65,1767000779.13159
happy,0.55,1767000779.3078976
neutral,0.61,1767000779.4733489
neutral,0.73,1767000779.6335955
happy,0.44,1767000779.7805107
happy,0.72,1767000779.9451666
happy,0.8,1767000780.1199586
happy,0.72,1767000780.2689846
surprise,0.42,1767000780.4294295
surprise,0.49,1767000780.5837333
surprise,0.62,1767000780.7467616
fear,0.44,1767000780.9107518
surprise,0.3,1767000781.0726078
surprise,0.85,1767000781.2309325
surprise,0.68,1767000781.376476
surprise,0.83,1767000781.5387263
surprise,0.81,1767000781.7139037
surprise,0.84,1767000781.876076
surprise,0.75,1767000782.0358453
surprise,0.83,1767000782.1802132
surprise,0.79,1767000782.3424337
surprise,0.8,1767000782.5125325
surprise,0.62,1767000782.6657608
fear,0.38,1767000782.8319254
surprise,0.5,1767000782.9803894
fear,0.57,1767000783.1436694
fear,0.4,1767000783.317122
surprise,0.38,1767000783.4723985
neutral,0.38,1767000783.6349552
neutral,0.5,1767000783.7972188
neutral,0.41,1767000783.9540021
neutral,0.73,1767000784.1225376
neutral,0.73,1767000784.279999
neutral,0.46,1767000784.4438736
surprise,0.45,1767000784.6240337
neutral,0.59,1767000784.7895684
surprise,0.37,1767000784.9685793
neutral,0.57,1767000785.1488242
neutral,0.67,1767000785.3221266
neutral,0.74,1767000785.4886985
neutral,0.77,1767000785.6384346
neutral,0.78,1767000785.7915502
neutral,0.85,1767000785.9558268
neutral,0.76,1767000786.12875
neutral,0.66,1767000786.2831647
neutral,0.96,1767000786.4429195
neutral,0.86,1767000786.617736
neutral,0.84,1767000786.775632
neutral,0.81,1767000786.9477718
neutral,0.87,1767000787.1203892
neutral,0.89,1767000787.280622
neutral,0.9,1767000787.4690301
neutral,0.9,1767000787.6540225
neutral,0.92,1767000787.8265326
neutral,0.77,1767000788.0930316
neutral,0.81,1767000788.2654226
neutral,0.79,1767000788.4606552
neutral,0.72,1767000788.6299736
neutral,0.39,1767000789.472342
neutral,0.71,1767000789.6656103
neutral,0.68,1767000789.8368237
neutral,0.73,1767000790.0375714
neutral,0.83,1767000790.201954
neutral,0.69,1767000790.382891
neutral,0.64,1767000790.5690804
neutral,0.82,1767000790.7609234
neutral,0.58,1767000790.9491684
neutral,0.66,1767000791.124441
neutral,0.88,1767000791.2923484
neutral,0.74,1767000791.4833062
happy,0.37,1767000791.6760368
neutral,0.65,1767000791.8897543
neutral,0.32,1767000792.0651565
neutral,0.54,1767000792.2329144
neutral,0.5,1767000792.4273489
neutral,0.53,1767000792.5953548
neutral,0.73,1767000792.7700949
neutral,0.75,1767000792.9600089
neutral,0.68,1767000793.1065006
neutral,0.74,1767000793.2782848
neutral,0.71,1767000793.4502895
neutral,0.65,1767000793.6049137
neutral,0.85,1767000793.74646
neutral,0.67,1767000793.904958
neutral,0.31,1767000794.0723486
neutral,0.47,1767000794.242347
